Movie_Name,Comment
"1988年的妮可 Nico, 1988","其实演的很不错，就是还是会出戏，毕竟容颜不是那么相似……
不停闪回的片段倒是让人有些联接，布拉格的那出非法演唱会很赞，还有一直在身边的录音设备。"
"1988年的妮可 Nico, 1988",我也不知道这算不算是音乐类传记片在编剧上比较容易出现的顺拐，不太喜欢这种把所有人物情绪变化都要糅入最近的一场演唱中的做法，这样的处理出现次数多了后会让我觉得是有些过于刻意的联系。
"1988年的妮可 Nico, 1988",Young people are boring/But the world belongs to them/Do you really believe it/No/赶紧回去听solo Don't call me Nico call me by my real name 
"1988年的妮可 Nico, 1988",我到过顶峰也到过谷底，都空空如也。我一直在找一种声音。
"1988年的妮可 Nico, 1988",cinematography多有出彩之处，但无论是角色还是演员的问题或是有意为之，被设定为经历过风浪的Nico行为像一只草原上的动物，情感虽然不能说不丰沛，但动机模糊，思维单线条。其他角色的单薄更是雪上加霜。
"1988年的妮可 Nico, 1988",SIFF2018…7/10 看來是真樂迷了，視角沒能嚴守、敘事邏輯或缺都不成問題⋯⋯橫移鏡頭下的明日派對就夠哭的了。I’ll have it hideous as life it is…
"1988年的妮可 Nico, 1988","其实这个导演是有感觉的，某些片段颇有味道，也确实对人物内心有不少挖掘。不过人物转变有些突兀，感觉是完全没铺垫够就被时间强行转变了。
随身携带的录音器是个很好的线索，应当有更多着墨和阐释的。
虽不成熟，但有感觉总比没感觉好，好好打磨剧本，熟练导演技巧，应该会有更好的作品。"
"1988年的妮可 Nico, 1988",对Nico的印象之来自地下丝绒和切尔西女孩，不过这电影是Nico的传记吗？明明就是Christa。
"1988年的妮可 Nico, 1988",从来没接触过地下丝绒和Nico，女主角的演绎很动人，影片比较普通吧。。。。
"1988年的妮可 Nico, 1988",等我从伊维萨回来我就停止做音乐。1988妮可死于伊维萨。
"1988年的妮可 Nico, 1988",刚现场听完John Cale就来看这片，做人呐到了巅峰以后要做的就是怎么摆脱这个巅峰的阴影了吧。
"1988年的妮可 Nico, 1988",Siff第四场。每次都靠当年纪录片段和安迪沃霍尔的闪回回血。乐队巡演真的是一件很复杂的事情。当年的Nico做回自己，拿着录音设备采样很动人。其他没有了。
"1988年的妮可 Nico, 1988",和女性小伙伴看完一致认为“贵圈真乱”，不到10人的男男女女排列组合真的会尴尬，唯一的好处是省些房费(歪果仁出差不拼房)。迟到5分钟，看得有点费力，他们难道3年都在巡演路上？喜欢逃离布拉格那段
"1988年的妮可 Nico, 1988",上海电影节观影之一
"1988年的妮可 Nico, 1988",我想成为一个优雅的老女人
"1988年的妮可 Nico, 1988",反正就是无论经历过什么高潮低谷到头来都只是一片虚无吧……
"1988年的妮可 Nico, 1988",昏昏欲睡…只有音乐能听。
"1988年的妮可 Nico, 1988",女主长相好像我的一个老师啊……
"1988年的妮可 Nico, 1988","#2018ONEIWFF#为了敲好字幕看了无数遍的电影，熟悉到演员的每一次大喘气都能记得哈哈～
“我到过顶峰 也遇过低谷 都是空空如也” 从柏林大轰炸到东欧剧变前的柏林墙倒塌 历史记忆背景下的个人经历 可以说是这样独特的历史背景造就了这样独一无二的Niko 女主角演的很棒 音乐真的完美 片子也真的丧"
"1988年的妮可 Nico, 1988",朋友赠票，原来是Chelsea girl ，nico的去世前两年的故事，my heart is empty 
"1988年的妮可 Nico, 1988",我第一次认识Chelsea girls和大香蕉外的她 “The greatest thing you’ve learnt is just to love and to be loved in return.”
"1988年的妮可 Nico, 1988",女主角的表演可圈可点，不错的新作品。
"1988年的妮可 Nico, 1988",女主演的不错啊，尤其几场现场演出的戏
"1988年的妮可 Nico, 1988",传奇人生中的痛快、绝望与瘙痒。一切是因为“柏林在燃烧”吗？
"1988年的妮可 Nico, 1988",海航飞机上分两次看完，混乱的生活，唏嘘的职业生涯，真挚、才华也没看到多少。
"1988年的妮可 Nico, 1988",不想去评价这部片子，但收获一首歌和一个悲情人物的故事
"1988年的妮可 Nico, 1988",年轻貌美+一些才华+坏脾气，也许会得到包容，那点败坏的品性甚至还得以“魅力”之美名，对其美貌与才华陶醉的人会为之着迷；年老色衰+衰减的才华+坏脾气，丑陋的内在显得特别突出。总之，既然要变老的话，还是要做一个平和的elegant old lady吧，衰老与年轻人的愤怒之混合看起来如此蠢顿
"1988年的妮可 Nico, 1988","每个人心里都有一个声音一个画面属于童年，却再也找不到的。Nico寻找的是the sound of defeat, 她记住的儿子的童年是花园草地上的乌龟，我心里的是夏日躺在平顶露台竹床上再未见过的满天繁星。//The greatest thing you’ll ever learn is to love and be loved in return."
"1988年的妮可 Nico, 1988",歌声厚重 为何要跟房东订婚？
"1988年的妮可 Nico, 1988",nico最后一年巡演生活 最好死于过量海洛因 在当时共产主义布拉格没有嗑药的演出反而是最佳
"1988年的妮可 Nico, 1988",毒品 海洛因 幻觉 爱情和亲情
"1988年的妮可 Nico, 1988",作为传记类电影描述了尼可传奇的一生
"1988年的妮可 Nico, 1988",[1.0/5.0] 幹居然不是記錄片，幹這個演 Nico 演 Trine Dyrholm 的超醜的，一直希望她趕快去死一死。Nico 跟亞蘭德倫生的兒子 Ari 頭上好大一顆痣。
"1988年的妮可 Nico, 1988",影片就像一场鬼撞墙的公路电影，不停地造访，不停地离开，不停地嗑药，不停地平庸下去。去年电影节是《索多玛120天的幕后事》，今年是《1988》，都是站在伟人的肩膀上把人骗进来的过度包装，即便秘密警察风靡东欧街道，真正的妮可依然蹦跶广场的勇气，也不足以支撑这部平庸之作。
"1988年的妮可 Nico, 1988",難看到生氣，拍攝質感很差，每個演員都很煩，找人扮演Nico本身就是錯誤。
"1988年的妮可 Nico, 1988",I just don’t understand what is so great about it and i kept wondering where they find a group of such unattactive actors
"1988年的妮可 Nico, 1988",关于Nico去世前最后巡演的传记片，被毒品困扰许久后，她突然想要变成优雅的老女人，不再激烈到处对抗着地巡演，而准备移居到伊比萨岛去种花。布拉格秘密演出那一场尤其漂亮。
"1988年的妮可 Nico, 1988",4.0。1.她说，我到过巅峰，也遇过低谷，终究我的心空空如也。2.这并非最好的音乐传记，但每当Nico的魔音响起，总是如漩涡般将我吸附。3.仓惶逃离那一刻，路遇罗马尼亚光明节，惊鸿一瞥的死亡暗示。4.Nico与阿兰·德龙的私生子Ari，当年还留着额头上的黑痣，割腕那一幕令人心疼。5.威尼斯地平线最佳。
"1988年的妮可 Nico, 1988",#2017Venice# 蛮不错的音乐传记片。“寻找失败的声音”“关于如何变老”。导演看来是真懂音乐的，不光靠情怀。当然剧作完整性比不了[醉乡民谣]但是女主简直完美。这绝对是个主竞赛级别的片儿啊！！
"1988年的妮可 Nico, 1988",SIFF2018观影，很好看，也够丧，不辜负我为它早起8点半就到了电影院一分钟也没有迟到。作为传记电影，选择的时间段很好，就是在Nico去世前的三年。所有人都仰望她的过去如一段传奇，她却厌恶地不想再提，儿子父亲是谁也不想再提。她有新的音乐，虽然音乐对她说起时不重要。布拉格那个地下音乐节太赞。
"1988年的妮可 Nico, 1988","女版《醉乡民谣》，摇滚版《妈咪》，还夹杂着一丝丝《天鹅绒金矿》的迷幻。
不曾从巅峰跌落至低谷再爬起的人不值得奉为传奇。妮可作为迷茫反叛青年的音乐名片，将特立独行和离经叛道贯穿一生（巅峰期与地下丝绒安迪沃霍尔分道扬镳、和无数名人露水情缘并诞下阿兰德龙的私生子）。
本片却节选其人生中稍显祥和的最后三年，昔日摇滚巨星面对过气、衰老和骨肉分离，毒品和抑郁的双重幻觉中，历史记忆漫溢而出。
仓惶的巡演之路，记录着东欧剧变前的惶然和反抗，从肆意的布拉格地下演唱中挣脱，路遇罗马尼亚光明节，她向死而生，此生却非空空如也。"
"1988年的妮可 Nico, 1988",意大利古城街头出走和餐厅老烟枪爵士Danny Boy，捷克斯洛伐克铁幕地下舞台和秘密警察的热血咆哮共振；草坪上漫布着乌龟，死神之夜的烛光；老旧水管、海潮飞机、生命起搏器，想捕捉到真实的、失败的声音，正如童年捕捉到天边柏林沦陷的艳丽火光……太浪漫，太摇滚
"1988年的妮可 Nico, 1988",为什么想起浅潜姐…
24小时狂欢派对 24 Hour Party People,080921 可能和真是一部for fans only的片子，反正我没看出特别多乐趣。只是Wilson的酒吧的最后一夜让我感动了一下。
24小时狂欢派对 24 Hour Party People,在家过万圣。本打算自high，结果只有Joy Division的个可以high一下。重新认识了这位邪邪的，聪明的，弥漫着吸血鬼和贵族气质的史蒂夫·库根，之前只看过他演的《情色大亨》。其实我是觉得他像我一个初中同学啦。
24小时狂欢派对 24 Hour Party People,可能因为从来不喜欢joy division的逼格，所以这部片子也喜欢不起来吧
24小时狂欢派对 24 Hour Party People,音乐，毒品，滥交，狂躁……反正我没法理解这种生活。
24小时狂欢派对 24 Hour Party People,nothing useless can be truly beautiful
24小时狂欢派对 24 Hour Party People,只有片头跟片尾有看点的流水账伪纪录片，喜欢joy division的不如去看[控制]，喜欢happy monday的从这部片子里也看不到什么
24小时狂欢派对 24 Hour Party People,麻雀瓦舍 9.14.2012
24小时狂欢派对 24 Hour Party People,曼彻斯特狂想曲，再往后面拍Oasis大概就要登场了吧；热衷社会研究的温特伯顿；不时加入的间离手法并没有什么亮点；“很显然这需要技术，没有一只鸽子在拍摄时死亡”；“无常是我们的悲剧，也是我们的希望”
24小时狂欢派对 24 Hour Party People,本片的特色是以經紀人（Factory的老闆Tony）而非樂手本人的角度敘事，Joy Division到Happy Monday的曼徹斯特樂隊音樂簡史，是一個（令Joy Division Fans感到有點沮喪的）龐克發展到舞曲的過程，但跳脫不出傳記片略帶流水帳和過度修飾以致扭曲真實的缺點。24 Hour Party People是Happy Monday的一首歌。
24小时狂欢派对 24 Hour Party People,"Manchester was like Renaissance Florence,everything comes together, birthplace to the railways, computer, the bouncing bomb, and rave cultur"
24小时狂欢派对 24 Hour Party People,"for Ian, for Joy Division, for JS, for Wilson, for factory, for manchester, for music"
24小时狂欢派对 24 Hour Party People,Factory的由生入死，曼彻斯特地下音乐简史。
24小时狂欢派对 24 Hour Party People,"曼切斯特，英式的圣地之一。joy division, oasis, the stone roses, the smiths，happy mondays，new order，Doves, Elbow，james，buzzcocks"
24小时狂欢派对 24 Hour Party People,三星半，现实版烟枪片，英式大男人幽默，可怜了一帮小清新和他们的音乐
24小时狂欢派对 24 Hour Party People,音乐不错。挺普通的一部电影。中规中矩。
24小时狂欢派对 24 Hour Party People,20131129 看到幾個跑龍套的，JS、SP 還算驚喜。
24小时狂欢派对 24 Hour Party People,看到那些乐队录像还是很开心的。
24小时狂欢派对 24 Hour Party People,从另一个角度去看joy division与new order
24小时狂欢派对 24 Hour Party People,演ian的演员真是丑死了...
24小时狂欢派对 24 Hour Party People,名字真三俗……
24小时狂欢派对 24 Hour Party People,可惜我不是生於這年代，唯有從OST補充歷史。
24小时狂欢派对 24 Hour Party People,原声赞
24小时狂欢派对 24 Hour Party People,i went to cambridge...
24小时狂欢派对 24 Hour Party People,挺有意思。不过我是学习来的。
24小时狂欢派对 24 Hour Party People,emm一部从头到尾充满了我是谁我在哪我要干嘛的随机懵逼的伪纪录片。Tony突然就开Factory了，Ian突然就吊死了，巴尼突然就加入了，工厂突然就倒闭了，重要转折点都是旁白的，导演好像完全不会用镜头讲故事？
24小时狂欢派对 24 Hour Party People,听听歌吧
24小时狂欢派对 24 Hour Party People,对英国摇滚不是很了解，所以就没什么感觉了……
24小时狂欢派对 24 Hour Party People,乏味的一切摇滚元素，性、毒品、混乱、虚妄
24小时狂欢派对 24 Hour Party People,荷尔蒙浓度降低之后不禁无聊，灰飞烟灭。
24小时狂欢派对 24 Hour Party People,有点意思
24小时狂欢派对 24 Hour Party People,粉丝电影
24小时狂欢派对 24 Hour Party People,有那么10分钟讲joy division的真棒 还挺喜欢Tony的一些屁话 就是dv拍摄常乱抖
24小时狂欢派对 24 Hour Party People,有些太散
24小时狂欢派对 24 Hour Party People,永远对不上时间轴的字幕太折磨了
24小时狂欢派对 24 Hour Party People,B-. 从音乐到情节都很无聊的话痨伪纪录片
24小时狂欢派对 24 Hour Party People,hacienda
24小时狂欢派对 24 Hour Party People,不设身处地就不知道其中的意义
24小时狂欢派对 24 Hour Party People,原声好听，内容乏味
24小时狂欢派对 24 Hour Party People,"好吧,我是来听歌的.不过这种纪录片风格还不错.很英国."
24小时狂欢派对 24 Hour Party People,普普通通
24小时狂欢派对 24 Hour Party People,开头有些无聊
24小时狂欢派对 24 Hour Party People,粉丝向的伪记录片
24小时狂欢派对 24 Hour Party People,其实就是为了看绵绵
24小时狂欢派对 24 Hour Party People,无聊的伪纪录片
24小时狂欢派对 24 Hour Party People,已过了爱做梦的年纪
24小时狂欢派对 24 Hour Party People,That's the most horrible thing tribute to my belove bands.
24小时狂欢派对 24 Hour Party People,流水賬身神怪尾，只合addicts
24小时狂欢派对 24 Hour Party People,压根儿没有可看性
24小时狂欢派对 24 Hour Party People,沒想像中好看
24小时狂欢派对 24 Hour Party People,找一大堆演员还拍成纪录片的形式，太恶臭了。看这个不如去读维基
24小时狂欢派对 24 Hour Party People,0分送你找了什么人演的IAN啊！！！
24小时狂欢派对 24 Hour Party People,伪纪录片
24小时狂欢派对 24 Hour Party People,这啥啊
24小时狂欢派对 24 Hour Party People,彻底疯狂
24小时狂欢派对 24 Hour Party People,什么鸡巴
24小时狂欢派对 24 Hour Party People,Tnoy对音乐的天真和执着另人感动，我尊敬他！他在Hacienda关闭时对Pub里所有人说的话几乎让我想拜一拜这个伟人。Tony说：“在你们离开之前，我要你们去看看办公室。就是在角落上……进门之后可以尽力拿东西。办公室的东西，电脑、音乐设备……都拿走……好好使用……培养出数千个曼彻斯特的音乐家”。
24小时狂欢派对 24 Hour Party People,挺好看的，该片弘扬的观点就是：偶像他妈的也是人。剥离神性的IAN CURTIS比CONTROL里那个看一眼别人癫痫发作自己就犯病的傻逼可爱多了。。尤其自杀那段的处理。但是从IMDB上与其他同类型题材电影得分的差距可以看粗。。拍这类有关矫情群体精神偶像的片子还是不要太自以为是的好= =
24小时狂欢派对 24 Hour Party People,原来那些天才音乐人是这样的，那些经典专辑是这么做出来的……喜欢英伦摇滚的人看了一定会会心一笑，结尾很神奇且温馨。JOY DIVITION ROCKS! Love will tear us apart is greatest song ever!
24小时狂欢派对 24 Hour Party People,前后两截感觉完全不同，后半截更dizzy。。
24小时狂欢派对 24 Hour Party People,2009年标记想看的，直到最近才找到资源终于看了。讲述了FACTORY公司旗下诸多乐队的故事，最爱joy division。半纪录片、半虚构的感觉。
42号传奇 42,Robinson踏上大联盟舞台的这一天，被公认为美国近代民权运动史上最重要的事件之一。
42号传奇 42,还行，一般般
42号传奇 42,一般吧，美国所谓的人权
42号传奇 42,一般，不是很能理解
42号传奇 42,还不错 能看下去
42号传奇 42,很励志
42号传奇 42,04/26/2013 Edwards Alhambra 14。这种政治正确的人物传记片子不错，就是怎么看都不入戏，不知何故啊。
42号传奇 42,这个题材的电影真是拍烂了。。。无新意。弃。
42号传奇 42,哈里森福特！
42号传奇 42,惊喜不大。。。三星半吧
42号传奇 42,出奇地沉闷，尤其老头一口播音腔完全没有霸气
42号传奇 42,講述一個黑人如何在種族隔離環境下一步一步走向成功鑄就傳奇的故事，骨子裡講的是美國夢的勵志。影片的表現不功不過，從勵志的角度說，影片的確有振奮人心之處，只是整體上缺乏一股熱血，反而帶著一股暮氣，而相對主角在民權運動上的地位，影片對於人物的挖掘浮於表面，角色魅力有限。
42号传奇 42,果真是没有jon...都被剪了么还是半截被开了- - Ford的男配呼声有看出来一些，不过片子实在是太平庸了，普通体育励志+种族问题，拍得也相当不高明，上映时间也不好，成不了《弱点》。另外本片的作曲是Mob City的配乐哟~
42号传奇 42,影片情节感人，虽然导演对当时历史环境的重现并不完全准确，但全片都相当鼓舞人心。
42号传奇 42,【130715】★★★☆不给力的前半段带出了最后那段酣畅淋漓的高潮。就传记片来说，剪辑中规中矩，而且没有几个让人印象深刻的配角，更像是励志片。哈里森福特的金牌表演有加分。
42号传奇 42,中规中矩。福特大叔已经老到可以去演甘道夫了T.T
42号传奇 42,本片改编自著名棒球手Jackie Robinson的事迹.喜欢棒球的可以看看哦。
42号传奇 42,福伯是真老了
42号传奇 42,讲种族歧视没能很好的表现运动成就，好在影片煽情地不讨厌。
42号传奇 42,美国人真的很擅长拍这种片子，挺好看。
42号传奇 42,老了的哈里森福特有点儿发福了
42号传奇 42,剧情到不是太吸引我，毕竟既没有描写激烈的赛场比赛，又没有描写激烈的冲突，虽然导演想表达这些，但是没能理解，可能还是对棒球比赛太不了解，所以，赛场上看不太懂，感觉云淡风轻，比赛没有多激烈啊
42号传奇 42,千头万绪，中规中矩。
42号传奇 42,平铺直叙的运动励志片
42号传奇 42,励志的主旋律故事，用棒球的话说算是安打，但没有特别出众的地方。
42号传奇 42,拍不坏也拍不好的那类片，不过演员都喜欢，连反派都是艾伦图代克。
42号传奇 42,剧情相对平淡了~更多意义是为了纪念杰克罗宾逊的
42号传奇 42,可惜了好题材。。
42号传奇 42,"意义大于单纯的励志和热血吧，老福特饰演的球队经理rickey可能更让人印象深刻，签约大联盟第一个黑人球员jackie robinson, 打破了当时不成文的种族界限，67年入选baseball hall of fame"
42号传奇 42,种族制度和棒球，电影很一般，无过错，无亮点。
42号传奇 42,剧情很弱，纯看哈里森福特了
42号传奇 42,略拖沓，高潮不够高
42号传奇 42,怎么说呢，片子拍的特别中规中矩，就连刻板偏见和隐藏背后的歧视都中规中矩。有因为中规中矩，所以符合最最偷懒的那种审美，很容易把你内心的激动和高昂煽动起来。
42号传奇 42,改编自美国职棒大联盟史上第一位黑人球员 著名棒球手Jackie Robinson 突破种族歧视的励志事迹 叙事紧凑合理 由于在我国棒球很不普遍而且鲜有种族歧视 我对于这种片子很难共鸣 我觉得最大亮点是道奇队的BOSS 很有弗格森和希特勒综合体的范
42号传奇 42,低谷的时候看看励志片，充一点勇气的电。Harrison的演技很不错，我终于认可了这位老戏骨。
42号传奇 42,这种片子要拍得很好或者很差应该都蛮难吧。Home run总是激动人心的。
42号传奇 42,规规矩矩规规矩矩
42号传奇 42,哈里森福这回是真彪悍了，其他都一般
42号传奇 42,Jackie Robinson had guts! （Pittsburg哈哈哈哈哈哈）
42号传奇 42,其实也只讲了Jackie Robinson进大联盟的第一年的故事。。真正想了解那段历史，还有Negro League的话，还是去看Ken Burns的Baseball吧。。
42号传奇 42,看不看都随意
42号传奇 42,2.5
42号传奇 42,五星的题材拍成三星的电影....ps:最近烦死这种反种族歧视的片子了....
42号传奇 42,非常热血非常正统的体育励志片，讲述美国历史上第一位黑人职业棒球联盟队员的诞生历程，融入了种族歧视话题，极好的传达出了影片的道德主题：忍辱负重、坚持自我、巧遇伯乐，定能成功。★★★
42号传奇 42,低级励志，可能根据真人真事改编的余地不大，看完不仅没觉得Jackie Robinson多么不容易，反而觉得他成功的挺轻松，6/10。
42号传奇 42,飞机上看的，电影一般，但是主人公很励志
42号传奇 42,如果你第一次看这种会觉得很震撼很励志，如果你看过《弱点》，刹那间你会穿越了这尼玛就是换了个黑人演员，换了个球类，经历着种种种族歧视然后xxx的故事。我在想也许刘翔的故事也适合拍这种体育励志片，可惜后面两次奥斯卡级别的演出，恐怕很难找到演员了
42号传奇 42,作为体育片，它不如money ball；作为政治片和红色电影，它比Argo强太多。
42号传奇 42,2013/04/11 Jack Robinson的故事太传奇，电影本身很一般。种族加体育的励志片，不如泰坦。
42号传奇 42,煽过了，只不过是此人此事。
42号传奇 42,种族、男人、运动！
42号传奇 42,立志呀~
42号传奇 42,千里马碰到了伯乐，伯乐发掘了千里马，部分矛盾冲突情节略显刻意，尚可一看。
42号传奇 42,没看过太多人物传记的电影，我觉得即便一个天才顺风顺水走到巅峰，但是要拍成电影好歹多点矛盾冲突怎么样？虽然这么说，但是在表达和感情深浅的拿捏上还是部好片子。
42号传奇 42,剧情还是淡了，作为励志片让人感受不到力量，这应该是编剧问题。导演和演员都没什么太好挑剔的。
42号传奇 42,42号传奇，nigro!WIN
42号传奇 42,除了种族问题 一般吧 
42号传奇 42,中规中矩的励志片
42号传奇 42,真实的故事。电影并不很出彩，不过相当励志。片尾曲超棒！
42号传奇 42,有点类似于纪录片这种感觉了 转折少了点 比如“一球成名”这种起伏感 西方文化种族文化的背景下 确实很传奇
55步 55 Steps,Helena Bonham Carter 的演技其实确实一直都这么好啊。我们之所以被她们所感动是因为我们现实中极少存在这样的人，鲜有这样的力量。
55步 55 Steps,来看 Hilary Swank的。拍得其实真不怎么样，庭审戏，反派的视角什么的都有缺失
55步 55 Steps,"剧本跳跃感略强，一大堆没太大关联的事件堆在一起显得很流水账。导演呈现上还是没啥大问题的，海伦娜→精神病患，希拉里→强势律师，这俩角色她们根本都不用演，直接信手拈来吧……
法庭阶梯埃莉诺总共就上过一次而已，片名怎么就“55步”了呢，我还以为最后会来个《黑暗中的舞者》那样的大煽……"
55步 55 Steps,四平八稳的传记片，总体上缺少惊喜。斯万克再继续演类似的强势女性角色，就别想再提名奥斯卡了~
55步 55 Steps,全靠看海伦娜·伯翰·卡特的表演，希拉里·斯万克完全不會演戲了。感覺導演是在三十年前拍電影。劇情，風格，都太老套。
55步 55 Steps,满含深情，无比动人。最出色的还是两位女主角的表演，技术与情感兼具，非常领令人难忘。
55步 55 Steps,常规的主流纪录片，叙事过平亮点欠奉。以真挚的表演和情感取胜，律师与病人在身体和精神上相互照料和影响，美好的品质与学识或阶级无关。伊莲诺对爱情和婚姻的向往最让我不忍，因为药物的副作用或已毁掉了她拥有幸福的可能。在结尾终于等到了律师圣人之举强有力的动机，在内部逻辑上也做到了足够自洽。
55步 55 Steps,"记忆深刻的是女律师的耳环和项链都好好看。
西方对于人权的保护真的做的很好。"
55步 55 Steps,厉害的部分都是真实事件本身，选角太标准了反而很难说体现了演技。女律师的医生男朋友真是好人……美国在关心精神病人的人权了。
55步 55 Steps,一部改编于1985年精神病人在未经许可下强行用药的真实法案，所以现实意义比影片更显重要。55步在片中指的是女主去法庭数的法院台阶数。开片是女主被强行拉扯到精神病院并打了安定，醒来后大小便失禁没得到该有的照顾，所以她申请了曾做过护士的律师的援助，律师女也很上心，生病甚至影响了自己感情生活都苦心于这起诉讼案。地方法院败诉后上诉到州法院最终胜诉。而女主却因为以前被强行使用药物的长期副作用病逝，留给后人的是她的执着和乐观。
55步 55 Steps,斯万克的表演比海伦娜好太多了。跟法律无关，all about people
55步 55 Steps,适合大学里作为心理系或者法律系教育片来放。题材很值得拍，演技也很可以，但是并不先锋
55步 55 Steps,正常水平，故事略有套路。冲着两位女主演看吧。
55步 55 Steps,Eleanor 单纯善良得让人心疼。并不想把这部电影归结为一部传记片、因为毕竟拍得太唯美了。就暂且、当成是一部、中规中矩的、剧情片吧
55步 55 Steps,奥古斯特保守发挥 可看性还是挺强的 不过维权难度显得没那么大.. 拍的太一团和气了
55步 55 Steps,多少有点冗长，终点放在了律师和病人的互动，敞开心扉，然后自我对话，其实不必用那么多笔墨，正反双方的对抗更多被置于背景状态，触动利益触动灵魂的惊心动魄感没有了，但那类片的确很多。美国人权进步的一个个案例，病人还能在医院打维权电话投诉医院，这事在中国就别想了，
55步 55 Steps,三星半。真实事件改编，两位女主演技浑然天成。可惜的是太过流水账，削弱了本该更加强烈的震撼。
55步 55 Steps,为什么改编电影总要在最后祭上真人照片，因为现实的力量总是大过电影，这招太好用了。
55步 55 Steps,三星半的传记电影，乐观的人总是如此坚强
55步 55 Steps,工整到了无趣的地步，所有桥段按部就班宛若电影系教材，而且犯了完美人设的大忌，堪称过犹不及的样板。PS海伦娜这表演应该算是本色吧……
55步 55 Steps,海伦娜凯勒了不起，为角色不惜自毁形象，于<宝贝儿>杨幂的扮丑高下立见。又一部美国律师辩护民权案件的事改编的电影。
55步 55 Steps,剧情太老套了，有些地方还有些跳跃，不太喜欢这种，三星吧
55步 55 Steps,真实事件改编，片子从关注弱势群体入手为这一群体争取正当权益。
55步 55 Steps,作为一个前心理学学生以及情况基本稳定但还在继续吃药的抑郁症患者，这部电影的题材非常“戳心”，法庭上为精神病人辩护的台词仅仅是听着就让人鼻酸：即使名义上说着要平和对待，精神病人依然是被大众污名化的。只是导演把原本动人的故事拍得支离破碎，场景之间的转换过快且生硬。人物的刻画本来可以更加立体化的。
55步 55 Steps,还可以，不过病患女主个性很讨厌嘛，太自我为中心了…
55步 55 Steps,节奏不好，没有表现出维权抗争多艰难，一切看起来太简单平淡
55步 55 Steps,有人说干一行爱一行，也有人说爱一行才干一行，愿大家得偿所愿。
